SMILES,Name,ID,Source,HeavyAtomCount,MolWt,MolLogP,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,NumAromaticRings,TPSA
CCC(=O)N1C[C@H]2[C@H](N3CCCC3)CC[C@@H]1CN2C(=O)Cc1ccc(Cl)c(Cl)c1,CHEMBL1094237,CHEMBL1094237,ChEMBL,29,438.399,3.612,0,5,3,0,4,1,43.860
COc1ccccc1-n1c(Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)n[nH]c1=S,CHEMBL1096596,CHEMBL1096596,ChEMBL,29,426.483,4.714,2,9,9,2,6,4,110.900
CC1(C)OC(=S)Nc2ccc(-c3ccc(C#N)n3CCCF)cc21,CHEMBL1098265,CHEMBL1098265,ChEMBL,24,343.427,4.348,1,4,4,1,4,2,49.980
Nc1nc2c(c(N3CC4CCCNC4C3)n1)CCCCC2c1ccccc1,CHEMBL1077276,CHEMBL1077276,ChEMBL,27,363.509,3.105,3,5,5,2,2,2,67.070
CC(C)CC(=O)OC(C)c1ccc2ccccc2c1,CHEMBL1093316,CHEMBL1093316,ChEMBL,19,256.345,4.490,0,2,2,0,4,2,26.300
CC1CCC[C@@H]2[C@]1(C)CC[C@H](C)[C@@]2(C)CC1=CC(=O)C(Cl)=CC1=O,CHEMBL1077098,CHEMBL1077098,ChEMBL,24,348.914,5.456,0,2,2,0,2,0,34.140
CC1(C)[C@H]2CCC3=C[C@@](C)([C@@H](O)CO)CC[C@H]3[C@]2(C)CC[C@H]1O,CHEMBL1076911,CHEMBL1076911,ChEMBL,23,322.489,3.280,3,3,3,3,2,0,60.690
CC(=O)N[C@@H](CCCCNCc1cccc(OCC(=O)O)c1)C(N)=O,CHEMBL1161924,CHEMBL1161924,ChEMBL,25,351.403,0.400,5,8,5,4,12,1,130.750
O=P(O)(O)c1ccc(Cc2ccc(P(=O)(O)O)cc2)cc1,CHEMBL1161220,CHEMBL1161220,ChEMBL,21,328.197,0.883,4,6,2,4,4,2,115.060
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(c3cc(C#N)c4oc5ccccc5c4c3)C[C@H]12,CHEMBL1160771,CHEMBL1160771,ChEMBL,29,388.379,2.865,2,7,5,2,3,3,114.770
CCCCC(=O)NC(=S)Nc1nc2ccccc2s1,CHEMBL1099299,CHEMBL1099299,ChEMBL,19,293.417,3.300,2,4,4,2,4,2,54.020
CN[C@@H]1CCN(c2nc(N)nc3c2CCCC3c2ccccc2)C1,CHEMBL1084425,CHEMBL1084425,ChEMBL,24,323.444,2.325,3,5,5,2,3,2,67.070
COc1cccc(N/N=C2C(=O)NN=C2c2ccc(OC)c(OC)c2)c1,CHEMBL1088145,CHEMBL1088145,ChEMBL,26,354.366,2.014,2,8,7,2,6,2,93.540
CCOc1ccc(OC)cc1CCCNC(C)=O,CHEMBL1091561,CHEMBL1091561,ChEMBL,18,251.326,2.163,1,4,3,1,7,1,47.560
C=C1C[C@H]2O[C@H]([C@@H]3[C@@H](C(C)C)CCC(=C)[C@H]23)[C@](C)(O)CC[C@@H]1OC(C)=O,CHEMBL1096781,CHEMBL1096781,ChEMBL,26,362.510,4.031,1,4,4,1,2,0,55.760
